Roblox
I want to gove this game infinite stars and 0 stars at the same time  let me explain. Every time i join a game on my phone  its a bit laggy and thats ok  but 2 minutes into it  the camera is just locked in the sen e that i can control it but its just the way it is  it still follows my character but ...Full ReviewI want to gove this game infinite stars and 0 stars at the same time  let me explain. Every time i join a game on my phone  its a bit laggy and thats ok  but 2 minutes into it
Games fun since theres alot of games you can choose to play  and even possible to create your own game. But 2 problems have been bugging me for a long time now. 1. Whenever I play a game sometimes the game freeze where you cant move your character  and it gets laggier over time. Im a mobile play...Full ReviewGames fun since theres alot of games you can choose to play  and even possible to create your own game. But 2 problems have been bugging me for a long time now. 1. Whenever I play a game sometimes the game freeze where you cant move your character  and it gets laggier over time. Im a mobile player by the way. 2. The Classic Thumbstick. Im more comfortable using the Classic one over the default one  yet alot of times it gets the camera stuck  and all I can do to fix it is to rejoin.  Enjoy full reign of the setlist sequence and interactive elements during each song ...
I love Roblox! It has great strategy games  obbies  roleplays  and more! It is very entertaining and I highley recommend it! However after a while it can get a little boring but you can easily fix that. The only reason I lowered a star is because there are lots of scammers and hackers in plenty of g...Full ReviewI love Roblox! It has great strategy games  obbies  roleplays  and more! It is very entertaining and I highley recommend it! However after a while it can get a little boring but you can easily fix that. The only reason I lowered a star is because there are lots of scammers and hackers in plenty of games  and dont even get me started on the new human like avatars. Roblox get your act together and make better avatar items.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards
I love this game. this is my go to game to play with my friends. you have millions of games and avatar choice to choose from. but I give this 4 stars because something needs to be fixed. when Im putting clothesaccosories on my avatar  this happens frequentlyan error screen pops up saying there wa...Full ReviewI love this game. this is my go to game to play with my friends. you have millions of games and avatar choice to choose from. but I give this 4 stars because something needs to be fixed. when Im putting clothesaccosories on my avatar  this happens frequentlyan error screen pops up saying there was an error and that I should try again. and then it takes what ever I put on it takes it off again and I have to find it again. it sometimes just keeps happening. this really needs to be fixed!!!  Enjoy full reign of the setlist sequence and interactive elements during eac...
There is no ads. Make friends. Perfect for anyone at age. Talk. But there are hackes. And you always have to look out for them. There are glitches. Which is annoying. You always freeze. It doesnt freeze for everyone. I LOVEE IT . I recommend this game to people who are lonely and like to be stylish...Full ReviewThere is no ads. Make friends. Perfect for anyone at age. Talk. But there are hackes. And you always have to look out for them. There are glitches. Which is annoying. You always freeze. It doesnt freeze for everyone. I LOVEE IT . I recommend this game to people who are lonely and like to be stylish. And much more I love the game       
At first I thought this was gonna be really bad app but its actually really good .If you like games you should love this and i really like it as it has loads of diffrent categore games (experiences). the only problem is that you need really good wifi or data for it to work. Along with the fact that ...Full ReviewAt first I thought this was gonna be really bad app but its actually really good .If you like games you should love this and i really like it as it has loads of diffrent categore games (experiences). the only problem is that you need really good wifi or data for it to work. Along with the fact that some devices make it glitch more than others       
Sept 2021 Ive not missed a login day in nearly 18 months. GOOD Graphics  playerpet interaction  bugUI ratio is good compared to similar games. BAD although there are many things which are free  there are still alot of items which require money. hashing ambiguous chat really needs to get fixed. ...Full ReviewSept 2021 Ive not missed a login day in nearly 18 months. GOOD Graphics  playerpet interaction  bugUI ratio is good compared to similar games. BAD although there are many things which are free  there are still alot of items which require money. hashing ambiguous chat really needs to get fixed. UGLY scamming is very common and though I have complained many times Ive never received a response.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique virtual souve...
So  this game is very fun.The way it has millions of games in one little app that does not take up a lot of space on devices. I think you should takeaway friend limit and the hackers on the game can easily get a lot private information that they should not know  I never went through any of that bu...Full ReviewSo  this game is very fun.The way it has millions of games in one little app that does not take up a lot of space on devices. I think you should takeaway friend limit and the hackers on the game can easily get a lot private information that they should not know  I never went through any of that but I have heard so many stories about it the game is not overrated in my opinion and also the selections of clothing and games to play.I love roblox so its a fun thing to play when Im bored   Enjoy full reign of the setlist sequence and interactive elements during each so...
Everything is alright  but now in 2020 and 2021 i experience a lot of glitches. Sometimes it makes me login in again  when i play for like 10 mins it would freeze i cant even touch the leave button  i always need to press home  please fix it. It always happens when i do something important and i don...Full ReviewEverything is alright  but now in 2020 and 2021 i experience a lot of glitches. Sometimes it makes me login in again  when i play for like 10 mins it would freeze i cant even touch the leave button  i always need to press home  please fix it. It always happens when i do something important and i dont like it. Mostly when i talk to my friends and it would freeze randomly
This is the greatest thing ive ever seen! I can tell that this has taken a long time to make! This game is filled with awesomest kinds of mini games like obbies  tycoons  roleplays  and simulators! I love it so much!!! But  I dont like how they dont let you play during updates.... but thats all! I...Full ReviewThis is the greatest thing ive ever seen! I can tell that this has taken a long time to make! This game is filled with awesomest kinds of mini games like obbies  tycoons  roleplays  and simulators! I love it so much!!! But  I dont like how they dont let you play during updates.... but thats all! Its more fun with robux but you can have fun without it as well!  Enjoy full reign of the setlist sequence and interactive elements during each song
This game is so great  it has a ton of games in one  and not to mention you can make games too  and customize your character better with robux. This isnt robloxs fault  but some gamepasses are so expensive  its over 30 bucks sometimes in cash for something. Overall this game is amazing. The chat ...Full ReviewThis game is so great  it has a ton of games in one  and not to mention you can make games too  and customize your character better with robux. This isnt robloxs fault
Its so fun and I just cant stop playing it. There is every game you can imagine! And I give it 5 stars because its soooo awesome and when your bored or something you can go on this game! And once you install it you will never be bored again D And you should install it too! Even if you dont like ...Full ReviewIts so fun and I just cant stop playing it. There is every game you can imagine! And I give it 5 stars because its soooo awesome and when your bored or something you can go on this game! And once you install it you will never be bored again D And you should install it too! Even if you dont like it please dont write a hate review if you are going to please just give your honest opinion about it and not anything rude. Roblox is my life I love it! Thank you!  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards ...
It is very slow and the horse games are trash. It is very slow and glitchy. Some of the games are fine but they are quite creepy. Can you please make some good games and stop it from being glitchy. My wifi is on starong and it is still one of the glitchest games ive evr played and im sure that othe...Full ReviewIt is very slow and the horse games are trash. It is very slow and glitchy. Some of the games are fine but they are quite creepy. Can you please make some good games and stop it from being glitchy. My wifi is on starong and it is still one of the glitchest games ive evr played and im sure that other people agree with me. I know this game is good in someways so lets get to the good stuff. It has different games for depending on who you are and i think that that is very good. A.M.E.L.I.A Larmer  Enjoy full reign of the setlist sequence and interactive elements dur...
Hello! i love using and playing this app! theres so many games to play and choose and much more! but why 1 star? because i tried resetting its data and cache because my storage was full. but when i started to login back to my account  there was a Verification code in my screen. i forgot that i adde...Full ReviewHello! i love using and playing this app! theres so many games to play and choose and much more! but why 1 star? because i tried resetting its data and cache because my storage was full. but when i started to login back to my account  there was a Verification code in my screen. i forgot that i added it so no one can go to my account. but when backup the game and go to my Gmail and copy the code and when i go back to the game.....it reseted........i was concerned. pls fix this bug or anything.  Enjoy full reign of the setlist sequence and interactive elements dur...
I love this game but there are some problems  when I join a highgraphics game like Royale High for example. Most of the time it makes me go back to the loading screen when I turn on the app and its very annoying. Robloxs verification  security and report system is also terrible  there are so many...Full ReviewI love this game but there are some problems  when I join a highgraphics game like Royale High for example. Most of the time it makes me go back to the loading screen when I turn on the app and its very annoying. Robloxs verification  security and report system is also terrible  there are so many innappropriate items in shop and many people try and report it but it doesnt work. And people are getting warningsbanned for the most stupidest reasons like saying the word Gy. Please fix this.   Enjoy full reign of the setlist sequence and interactive elements during eac...
Roblox is a nice game. You have many different games to choose from in the one game  you can even create your own. You can change your avatar to how you like it. You can also buy and sell clothing  gamepasses  gears ect. I would not recommend playing on a low end device or playing on mobile  it gets...Full ReviewRoblox is a nice game. You have many different games to choose from in the one game  you can even create your own. You can change your avatar to how you like it. You can also buy and sell clothing  gamepasses  gears ect. I would not recommend playing on a low end device or playing on mobile  it gets very glitchy.  Enjoy full reign of the setlist sequence and interactive elements during each song
Amazing app! Occasional bugs and such  but its great for all purposes. The tags do make it a bit worse but its just to make the game kid friendly. An amazing game for all ages. Im what you call an anime weeb  so i play the anime games. Its honestly all about the ingame game developers and if they ...Full ReviewAmazing app! Occasional bugs and such  but its great for all purposes. The tags do make it a bit worse but its just to make the game kid friendly. An amazing game for all ages. Im what you call an anime weeb  so i play the anime games. Its honestly all about the ingame game developers and if they work hard on the game. Dont blame the owners and app makers.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique virtual souvenirs like bandanas  masks  and wi...
I love the game but I just hate the fact that I always need to update it sometimes I dont have enough MB to update it maybe update it like after a month or something? Then maybe I will give it an 5 stars. Also there are bugs like EX I walk and the cam just filp! There are more bugs like those! The...Full ReviewI love the game but I just hate the fact that I always need to update it sometimes I dont have enough MB to update it maybe update it like after a month or something? Then maybe I will give it an 5 stars. Also there are bugs like EX I walk and the cam just filp! There are more bugs like those! There are also scam games! I even almost got tricked!       
This is a great game! You can customize your avatar  play games  make friends and chat with them. The reason i gave 4 stars is because the camera bug  every now and them  i can only only zoom in and out. I cant turn the camera and stuff and this has been happening with other players too. Overall  go...Full ReviewThis is a great game! You can customize your avatar  play games  make friends and chat with them. The reason i gave 4 stars is because the camera bug  every now and them
Its generally a good game but when I play on my Xbox theres a glitch where my sensitivity is really slow and no matter what I do its just staying at the same  slow speed. There are some games  of course  that dont have this glitch and those games are alright. But there was another problem on Xbo...Full ReviewIts generally a good game but when I play on my Xbox theres a glitch where my sensitivity is really slow and no matter what I do its just staying at the same  slow speed. There are some games  of course  that dont have this glitch and those games are alright. But there was another problem on Xbox too. A lot of games dont have Xbox support and those games are the best games on Roblox. There are games such as  It Lurks  Cobra Kai
Fantastic Game! Really love this game and the best part about it is that there are no ads and multiple games to choose from  and you can customise your avatar find new friends and a lot of cool things but my problem is that a few games I play it sometimes just closes the app and I have to restart it...Full ReviewFantastic Game! Really love this game and the best part about it is that there are no ads and multiple games to choose from  and you can customise your avatar find new friends and a lot of cool things but my problem is that a few games I play it sometimes just closes the app and I have to restart it ex madcity and the game has website bypassing like u can enter web adresses using script  which isnt good  and the chat filter  I can type 1000 but not 1k  it also asks the billing receipt of acc  Enjoy full reign of the setlist sequence and interactive elements dur...
i would actually give it a solid 55 stars  but i ended up giving three. because ever since roblox updated there are literally SO many bugs  like 1. if i join a game  my screen would be fully black. 2. if im playing mm2 my game freezes up  like i couldnt jump  i couldnt walk i couldnt leave  i co...Full Reviewi would actually give it a solid 55 stars  but i ended up giving three. because ever since roblox updated there are literally SO many bugs  like 1. if i join a game
Before you spend any money  be mindful of their business practices As part 5.(A).(3) says in Robloxs terms of service No Refunds. As discussed elsewhere in these Terms  there may be situations where games  avatar items  or other content may be removed from the Service (due to violations of these ...Full ReviewBefore you spend any money  be mindful of their business practices As part 5.(A).(3) says in Robloxs terms of service No Refunds. As discussed elsewhere in these Terms  there may be situations where games  avatar items  or other content may be removed from the Service (due to violations of these Terms or for other reasons). We will have no liability for any losses you may incur as a result
I actually play this game every day you can talk to new people  roleplay   no ads at all   you can make your own game and own Avatar items   you can dressup however you like   you can join groups   make groups   talk in group chat   and the whole game is family friendly no curse words no swearing an...Full ReviewI actually play this game every day you can talk to new people
I love the games although once you play on ipad or phone itll cause a lot of lag  so please make it that theres not a lot of lag. One time on roblox there was a bug and I couldnt log back into my account. I tried multiple times  but it still didnt work. I have now lost my account and I spent money ...Full ReviewI love the games although once you play on ipad or phone itll cause a lot of lag  so please make it that theres not a lot of lag. One time on roblox there was a bug and I couldnt log back into my account. I tried multiple times  but it still didnt work. I have now lost my account and I spent money on it to get robux. So i had to make a new account. All Im saying is that you should fix that. (edit)I got it back ty.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its ove...
I do love this game! But  it does tag some stuff that Im trying to say.. The chat filter is a bit  uhh.. Much. But I understand why you have it. And there is a lot you can do on it  with endless possibilities! Edit unlike minecraft.. Bedrock edition sux. Mark this review as helpful if you think mc...Full ReviewI do love this game! But  it does tag some stuff that Im trying to say.. The chat filter is a bit  uhh.. Much. But I understand why you have it. And there is a lot you can do on it  with endless possibilities! Edit unlike minecraft.. Bedrock edition sux. Mark this review as helpful if you think mc bedrock should be the same as Java.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique virtual souvenirs like bandanas
I like the game because it is an amazing app. Plus I love how you can customize your avatar  play all kinds of fun games  and role play. But there is one thing I dont like... IT IS THAT ROBUX IS SO EXSPENSIVE!!!! lower the price and I will be good) Some of my favorite games are Brookhaven  Club r...Full ReviewI like the game because it is an amazing app. Plus I love how you can customize your avatar  play all kinds of fun games  and role play. But there is one thing I dont like... IT IS THAT ROBUX IS SO EXSPENSIVE!!!! lower the price and I will be good) Some of my favorite games are Brookhaven  Club roblox  froggy  horse world
It is fun to play in with your friends and others  The reason why I did not do 55 stars is because some times it is glitchy even if my wifi is good. This game made me want to be a gamer. I love this game! D The bad part about it is bloxburg is worth 25 rubux  I hate that it is worth anything becau...Full ReviewIt is fun to play in with your friends and others  The reason why I did not do 55 stars is because some times it is glitchy even if my wifi is good. This game made me want to be a gamer. I love this game! D The bad part about it is bloxburg is worth 25 rubux  I hate that it is worth anything because its a fun game.   
its an amazing game full of entertainment and imagination! it gives you an amazing opportunity to meet new people and have fun! although there is a minor issue  reports  now the report system is a great idea! when you report somebody nothing happens  now this isnt a massive issue but its a little de...Full Reviewits an amazing game full of entertainment and imagination! it gives you an amazing opportunity to meet new people and have fun! although there is a minor issue  reports  now the report system is a great idea! when you report somebody nothing happens  now this isnt a massive issue but its a little detail that needs to be fixed  apart from that its an amazing way to interact with people and a great way of delveloping an imagination! you can get very creative on roblox and their is tons of games!  Enjoy full reign of the setlist sequence and interactive elements d...
This game is nice. Tough  there night be inappropriate words or toxic people. Theres another problem  the problem is you get disconnected alot. Love it alot because you can customize your avatar. The reason why I like customizing avatar is because I can make is funny  satisfying and cute. Its very...Full ReviewThis game is nice. Tough  there night be inappropriate words or toxic people. Theres another problem  the problem is you get disconnected alot. Love it alot because you can customize your avatar. The reason why I like customizing avatar is because I can make is funny  satisfying and cute. Its very funny. I loveee this game.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique virtual souvenirs like bandanas
Its very run for killing time as theres a variety of games around the world but please try making hackers from getting in your account more harder  (if possible.) I was so close to getting hacked but luckily I saved my account. And maybe add more warnings of your account getting hacked  ex. Chang...Full ReviewIts very run for killing time as theres a variety of games around the world but please try making hackers from getting in your account more harder  (if possible.) I was so close to getting hacked but luckily I saved my account. And maybe add more warnings of your account getting hacked  ex. Change your password  there has been suspicious activity going on in your account. In messages (settings) orand notifications. Anyway  this is a good game. Just the hackers are worst
I love this game! Been playing it since 2018. When you download it  It seems as just one game but after theres a bunch of other games inside!! Great for playing with friends. But  the problem is the game is very glitchy at some point and tgen it kicks u out! When u try joining the game back it keeps...Full ReviewI love this game! Been playing it since 2018. When you download it  It seems as just one game but after theres a bunch of other games inside!! Great for playing with friends. But  the problem is the game is very glitchy at some point and tgen it kicks u out! When u try joining the game back it keeps saying no internet or try again later. Please fix this! When u do the game will be the best ever!!  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique vir...
I love this game and I think its unique that you can play so many games made by players  also you can create your own avatar and I highly recommend it. The prices for Robux (money in the game) have good prices there are also fun simulators  tycoons  roleplay and action games. There are also free ite...Full ReviewI love this game and I think its unique that you can play so many games made by players  also you can create your own avatar and I highly recommend it. The prices for Robux (money in the game) have good prices there are also fun simulators  tycoons  roleplay and action games. There are also free items for your avatar. I loved this game I used to but now I cant even play it. All it does is say cant contact server check internet when me internet is perfect  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewar...
This is one of my fave games!!!! In this game there is pretty much endless possibilities  genres  types  etc. The only 2 things are Sometimes you can get bullied  but you can report people so I guess thats okay. Also robux. You have to pay real money for robux  but I use my money so my mum is o...Full ReviewThis is one of my fave games!!!! In this game there is pretty much endless possibilities  genres  types  etc. The only 2 things are Sometimes you can get bullied
I say this game is very interesting because there is a bunch of games you can play from. But there is a few things that I think should change. 1. A starter pack with 300 robux I have robux which its the best btw. 2. Sometimes my phone says that roblox is not responding when I have perfect connectio...Full ReviewI say this game is very interesting because there is a bunch of games you can play from. But there is a few things that I think should change. 1. A starter pack with 300 robux I have robux which its the best btw. 2. Sometimes my phone says that roblox is not responding when I have perfect connection so roblox please try to fix the glitch its fine if not! But I would give it a 4 since its super fun!  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique vi...
This app is absolutely amazing Ive been playing it for years but one thing Ive always been wanting is there to be an offline version of roblox. Maybe as if you guys added a premium type subject into roblox which would be offline version! You would pay for the offline version and you could go onlin...Full ReviewThis app is absolutely amazing Ive been playing it for years but one thing Ive always been wanting is there to be an offline version of roblox. Maybe as if you guys added a premium type subject into roblox which would be offline version! You would pay for the offline version and you could go online or offline any time you want  but..... The offline version would expire after a long time  the offline version wouldnt be to expensive neither  to cheap. I personally think its a great idea! )  Enjoy full reign of the setlist sequence and interactive elements during ea...
Great game no ads. So much GAMES. I love it! Its kid friendly and fun. I heard you can make your own games but Idk how. The only thing is that when I tag random words that are not bad It numbers. that sucks. And when you report someone i dont think it even does anything. Reports dont do anthing  pl...Full ReviewGreat game no ads. So much GAMES. I love it! Its kid friendly and fun. I heard you can make your own games but Idk how. The only thing is that when I tag random words that are not bad It numbers. that sucks. And when you report someone i dont think it even does anything. Reports dont do anthing  please fix that. Ive been scammed quite a few times and i report them. i wish the scammers would get banned so that they dont scam anyone else. still a good game. but please fix these problems.  Enjoy full reign of the setlist sequence and interactive elements during eac...
great game but some bugs and it lags but rarely. 100000 games. you can edit youre avatar how ever you want but most items cost robux and thats real money but worth it. alot of scams (dont fall for them) mean and toxic players (just inogre them) games with toxic people meepcity  rap battles  ragd...Full Reviewgreat game but some bugs and it lags but rarely. 100000 games. you can edit youre avatar how ever you want but most items cost robux and thats real money but worth it. alot of scams (dont fall for them) mean and toxic players (just inogre them) games with toxic people meepcity  rap battles  ragdoll games  rate my avatar and more. bugs need fixing and people need to be banned. bad game for children under the age of 10. alot of hackers. but still great game  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards ...
I love this game so much and I spend almost all day on this app. Totally recommended for u to download and have fun!!!!! Its so fun because you can add friends you know and play games with them  if you dont have there phone number then you can chat with them in the game and not in a game by using th...Full ReviewI love this game so much and I spend almost all day on this app. Totally recommended for u to download and have fun!!!!! Its so fun because you can add friends you know and play games with them  if you dont have there phone number then you can chat with them in the game and not in a game by using the chat button. Have fun playing roblox. I hope that this review helps you find what your looking for! Roblox does take wifi and there are some game bugs. Have fun!   Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive...
This app is amazing Ive been playing it for years  The new update is cool  But earlier i wanted to play so open the app and then was stuck in the loading area i waited nothing happened.. Ive reset the app I cleaned my phone and watch some YT to fix it Still nothing happened. I deleted it and rein...Full ReviewThis app is amazing Ive been playing it for years  The new update is cool  But earlier i wanted to play so open the app and then was stuck in the loading area i waited nothing happened.. Ive reset the app I cleaned my phone and watch some YT to fix it Still nothing happened. I deleted it and reinstall it again Still Nothing happened.. idk if it my phone or the app But please fix it. This just happened today.. If theres some stuff i didnt know please let me know.. Thank You  Enjoy full reign of the setlist sequence and interactive elements during each song  collect...
I love this game so much it entertains me when i get bored or on a roadtrip where there is service! i love how u can make friends a groups! u can also unfriend people block them and follow  mine keeps freezing so idk whats happening. theres old people trying to trick us and people like to hack to....Full ReviewI love this game so much it entertains me when i get bored or on a roadtrip where there is service! i love how u can make friends a groups! u can also unfriend people block them and follow  mine keeps freezing so idk whats happening. theres old people trying to trick us and people like to hack to. but other than that i love playing this game so much!! thanks roblox. there are bugs on roblox but it can be fixed im not just speaking for me other people to. 12414 thats how long.  Enjoy full reign of the setlist sequence and interactive elements during each song  col...
This game is great! It has a moderation system to keep inappropriate words out and the controls are easy  this game has so many games in the app! You can even create your own game! You can friend people so you can text or play together!!! Although I would like if there was a option to join the last ...Full ReviewThis game is great! It has a moderation system to keep inappropriate words out and the controls are easy  this game has so many games in the app! You can even create your own game! You can friend people so you can text or play together!!! Although I would like if there was a option to join the last server you joined in a game because I play with someone I havent friended and I accidentally leave  lose them and to make the buttons bigger for the controls for mobile. I recommend this to everyone!  Enjoy full reign of the setlist sequence and interactive elements ...
I love the endless possibilities in this game! You can make a while three dimensional gam or showcase are literally ANYTHING. The Roblox books are great fun too. The only thing I would want to improve is the moderation. Its really been getting out of hand lately. Great game!!       
The game is fun and all...but recently I have been noticing that my game would freeze even if I wasnt lagging 20 minutes after playing it. And when I quickly go back on it it would be a black screen... its not my phone cause my phone works perfectly well when this happens but its very annoying.       
Its sooo good but it makes me update like in 5 weeks or so but its still good no problem about it and I just say people can still find ways to use bad language in the chat and when Im on people bully but its hardly noticeable. And my friends little sister was playing and someone has deleted her ac...Full ReviewIts sooo good but it makes me update like in 5 weeks or so but its still good no problem about it and I just say people can still find ways to use bad language in the chat and when Im on people bully but its hardly noticeable. And my friends little sister was playing and someone has deleted her account. And its really easy for someone to hack or delete an account on there. And I mostly feel like its making us give to much information I mean come on.and this is my most honest opinion.3  Enjoy full reign of the setlist sequence and interactive elements during each ...
Even though this is a good game  it has some flaws  like when you buy an item on the catalog then it deleted  the refunds dont work i searched on youtube and some comments said Roblox well get the item but your not getting your robux its just a waste  and also getting banned for no reason  i was...Full ReviewEven though this is a good game  it has some flaws  like when you buy an item on the catalog then it deleted  the refunds dont work i searched on youtube and some comments said Roblox well get the item but your not getting your robux its just a waste
The reason I gave this game a 5 star rating is because it has so many good games and is ad free. The game has games for everyone based on what you play. You can also chat play and join friends. This game is so much fun. The only thing us you need WIFI to play of course. Anyway download this game rig...Full ReviewThe reason I gave this game a 5 star rating is because it has so many good games and is ad free. The game has games for everyone based on what you play. You can also chat play and join friends. This game is so much fun. The only thing us you need WIFI to play of course. Anyway download this game right away because you will fall in love straight away. Download now and hope you enjoy it. It has shooting  snipers  and so much more. Thats why I gave it a 5 star rating. Hope you enjoy it.   Enjoy full reign of the setlist sequence and interactive elements during eac...
Some games inside of your game is good  but the game itself isnt. Its been months since Ive been experiencing a lot of bugs and devs doesnt even bother to fix it. I dont need to say what the bugs are since there has been a lot of people saying it and you wont even read this. If you do  then it...Full ReviewSome games inside of your game is good  but the game itself isnt. Its been months since Ive been experiencing a lot of bugs and devs doesnt even bother to fix it. I dont need to say what the bugs are since there has been a lot of people saying it and you wont even read this. If you do  then itd be much appreciated if you fix it. Thank you.   
Ive been playing roblox for 45 years and its been a great experience. They have so many games to play and even make friends. I do get bullied now and then but besides that  everything is alright. I also like how they have items for cosplaying. I just sorta wish they had easier ways to make robux....Full ReviewIve been playing roblox for 45 years and its been a great experience. They have so many games to play and even make friends. I do get bullied now and then but besides that  everything is alright. I also like how they have items for cosplaying. I just sorta wish they had easier ways to make robux. Its fun to play with my friends  buy items  and much more! Thats why I rate this app 5 stars.  Enjoy full reign of the setlist sequence and interactive elements during each song  collect exclusive rewards  and keep the party going after its over with unique virtual souven...
